stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.56115891700028,66.56115891700028,66.8616226669983,space,1,0.28098829200462205,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.56138700000156,67.56138700000156,67.86089058299694,space,1,0.46512183300364995,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.56097845800105,68.56097845800105,68.86060695799824,space,1,0.3683339160052128,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.56102933299553,69.56102933299553,69.86053429199819,space,1,0.25704495800164295,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,11,11,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.56075208300172,70.56075208300172,70.86131324999587,space,1,0.28481433300476056,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,M,none,,,,,,,0,12,12,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.560760458,71.560760458,71.86106233299506,space,0,0.25324866600567475,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,13,13,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5607615830013,72.5607615830013,72.86107720799919,space,1,0.29869000000326196,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,14,14,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.56120116700185,73.56120116700185,73.86134841699823,space,1,0.23108641600992996,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,15,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.56112979199679,74.56112979199679,74.8610189999963,space,1,0.23116645800473634,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,H,none,,,,,,,0,16,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.56107654199877,75.56107654199877,75.86147441699723,space,0,0.2877223329996923,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
