stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_trial_Prac1.stopped,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,37,37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.09831620800105,121.09831620800105,121.39836079199995,space,1,0.3148391669983539,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,38,38,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.08142595800018,122.08142595800018,122.38183004200073,space,1,0.3256455829996412,123.08156279200011,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,39,39,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.08156279200011,123.08156279200011,123.38161058300102,space,1,0.3003256239990151,124.08184933300072,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,40,40,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.08184933300072,124.08184933300072,124.38221208300092,space,1,0.39927891600018484,125.08175691699944,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,41,41,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.08175691699944,125.08175691699944,125.38168612499976,space,1,0.3589749999991909,126.0817891250008,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,42,42,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0817891250008,126.0817891250008,126.3818656250005,space,1,0.3003488329995889,127.08172700000068,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,43,43,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.08172700000068,127.08172700000068,127.38165020800079,space,1,0.32440904099894396,128.0816060420002,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,K,none,,,,,,,0,44,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0816060420002,128.0816060420002,128.38237941700027,None,1,,129.08200879200012,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,45,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.08200879200012,129.08200879200012,129.38177583300057,space,1,0.4130386249998992,130.08206708299986,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,X,space,,,,,,,0,46,46,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.08206708299986,130.08206708299986,130.38220745800027,space,1,0.4271560419983871,131.08207374999984,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
