stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,M,none,,,,,,,0,7,7,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.14106829208322,114.14106829208322,114.45776091702282,None,1,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,8,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.12417879211716,115.12417879211716,115.44107429194264,space,1,0.34806837514042854,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,9,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.12035408313386,116.12035408313386,116.42402262496762,space,1,0.41738779097795486,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.1240181250032,117.1240181250032,117.42481549992226,space,1,0.4323137919418514,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,11,11,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.12385191698559,118.12385191698559,118.42382470797747,space,1,0.4632235411554575,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,12,12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.1238333331421,119.1238333331421,119.42387424991466,space,1,0.3628328740596771,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.12412654212676,120.12412654212676,120.42356887506321,space,1,0.3660930411424488,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,T,none,,,,,,,0,14,14,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.12385341711342,121.12385341711342,121.42479462502524,None,1,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,15,15,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.12394224992022,122.12394224992022,122.42381670791656,space,1,0.4260108331218362,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,16,16,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.12384883291088,123.12384883291088,123.4237898751162,space,1,0.382417666958645,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,K,none,,,,,,,0,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.12400620803237,124.12400620803237,124.42375175002962,None,1,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,18,18,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.12384575000033,125.12384575000033,125.42306474992074,space,1,0.33164250012487173,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,19,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.1237532501109,126.1237532501109,126.42273204191588,space,1,0.45220454107038677,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,20,20,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.12389404210262,127.12389404210262,127.42278862511739,space,1,0.40234808321110904,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,21,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.12342249997891,128.12342249997891,128.42311304202303,space,1,0.4333839160390198,129.12337566702627,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,X,space,,,,,,,0,22,22,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.12337566702627,129.12337566702627,129.42307241703384,space,1,0.3732799580320716,130.12342304200865,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
