stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_trial_Prac1.stopped,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,12,12,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.01535358300316,115.01535358300316,115.31519025000307,space,1,0.2713064590061549,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.01528775000043,116.01528775000043,116.31517791700026,space,1,0.3501856669972767,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,14,14,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0151337080024,117.0151337080024,117.3153922920028,space,1,0.2668395420041634,,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,15,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.99870416700287,117.99870416700287,118.29847120799968,space,1,0.25830975000280887,118.99859791700146,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.99859791700146,118.99859791700146,119.29866237500391,space,1,0.27229820899810875,119.99865770800534,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,17,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.99865770800534,119.99865770800534,120.29855845800193,space,1,0.3175433750002412,120.99895866700535,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,18,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.99895866700535,120.99895866700535,121.29881037500309,space,1,0.3009015420029755,121.99861266700464,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,19,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.99861266700464,121.99861266700464,122.29877658300393,space,1,0.32952074999775505,122.99864158299897,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,X,space,,,,,,,0,20,20,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.99864158299897,122.99864158299897,123.29873237499851,space,1,0.27117195899336366,123.99862187499821,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
,,T,none,,,,,,,0,21,21,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.99862187499821,123.99862187499821,124.29887374999817,None,1,,124.99880437499814,,,,,,,,,,,,,,,Lari2,001,2022-11-16_14h33.29.939,Trial go no go,2022.2.4,59.82171632951068,
